target_name,unit,short_description,sig_reference,xai_review_notes
TT_OB_Agri,hours,Transport time agri outbound (IRE→GB),Slide 16: transportation time export agri at UK checkpoints (TT_OB_Agri),
WT_OB_A_GB-Dub,hours,Waiting time agri outbound Dublin GB-side,Slide 16: WT_OB_A_GB-Dub,
WT_OB_A_GB-Ross,hours,Waiting time agri outbound Rosslare GB-side,Slide 16: WT_OB_A_GB-Ross,
TT_IB_Agri,hours,Transport time agri inbound (GB→IRE),Slide 16: TT_IB_Agri,
WT_IB_A_Dub,hours,Waiting time agri inbound Dublin IRE-side,Slide 16: WT_IB_A_Dub,
WT_IB_A_Ross,hours,Waiting time agri inbound Rosslare IRE-side,Slide 16: WT_IB_A_Ross,
WT_IB_NA_Dub,hours,Waiting time non-agri inbound Dublin,Slide 16: WT_IB_NA_Dub,
WT_OB_NA_GB-Dub,hours,Waiting time non-agri outbound Dublin GB-side,Slide 16: WT_OB_NA_GB-Dub,
WT_IB_NA_Ross,hours,Waiting time non-agri inbound Rosslare,Slide 16: WT_IB_NA_Ross,
WT_OB_NA_GB-Ross,hours,Waiting time non-agri outbound Rosslare GB-side,Slide 16: WT_OB_NA_GB-Ross,
TT_OB_LB,hours,Transport time Landbridge outbound,Slide 16: TT_OB_LB (EU↔IRE land-bridge),
WT_OB_LB,hours,Waiting time Landbridge outbound,Slide 16: WT_OB_LB,
TT_IB_LB,hours,Transport time Landbridge inbound,Slide 16: TT_IB_LB,
WT_IB_LB,hours,Waiting time Landbridge inbound,Slide 16: WT_IB_LB,
TT_OB_DR,hours,Transport time Direct route outbound,Slide 16: TT_OB_DR,
TT_IB_DR,hours,Transport time Direct route inbound,Slide 16: TT_IB_DR,
Uti_Cus_D,fraction,Customs utilisation Dublin,Slide 16: Uti_Cus_D,
Uti_DAFM_D,fraction,DAFM utilisation Dublin,Slide 16: Uti_DAFM_D,
Uti_Cus_R,fraction,Customs utilisation Rosslare,Slide 16: Uti_Cus_R,
Uti_DAFM_R,fraction,DAFM utilisation Rosslare,Slide 16: Uti_DAFM_R,
