run_id,VolAgriExGB,VolAgriExViaChe,A_Ex_LB,VolAgriImGB,VolAgriImViaChe,A_Im_LB,DocChkTimeAPImIR,PhyChkTimeAPImIR,VolAllPExGB,VolAllPExViaChe,NA_Ex_LB,VolAllPImGB,VolAllPImViaChe,NA_Im_LB,NumCustomOfficerD,NumCustomOfficerR,NumDAFMOfficerD,NumDAFMOfficerR,PerPhyChkAgriImIR,Pct_A_OB_Red,PerSecurityChkAPIR,PerGreenTrucksAPImIR,PerPhyChkAPImIR,Pct_NA_OB_Green,Pct_NA_OB_Red,PerSecurityChkAgriIR,VolAgriExEULB,VolAgriImEULB,VolAllPExEULB,VolAllPImEULB,DToHeyVesselCap,DToHolyVesselCap,DToLivVesselCap,RToFishVesselCap,RToPemVesselCap,n_replications,seed
manual_130,2459787.39,235558.05,228045.95,3293215.4999999995,218014.12,510704.88,32.7,55.2,6276110.399999999,585955.2,729964.8,7153171.199999999,427979.2,1000780.8,4.32,2.16,35.64,16.200000000000003,0.28,0.38,0.3,0.83,0.33,0.83,0.27,0.29,186583.05,44409.12,327955.2,204979.2,47.58,81.51,47.97,32.25,52.46,5,42
manual_131,1741442.4,243850.63,219753.37,2331480.0,401201.74,327517.26,35.4,82.2,4443264.0,459004.8,856915.2,5064192.0,705304.0,723456.0,3.16,1.58,29.37,13.35,0.29,0.21,0.29,0.88,0.28,0.66,0.24,0.25,194875.63,227596.74,201004.8,482304.0,42.7,73.14999999999999,43.05,64.5,104.92,5,42
manual_132,2133266.94,111169.35,352434.65,2856063.0,312383.5,416335.5,24.9,71.39999999999999,5442998.399999999,660009.6,655910.4,6203635.2,235057.6,1193702.4,4.52,2.26,38.28,17.4,0.25,0.27,0.27,0.74,0.15,0.79,0.28,0.3,62194.35,138778.5,402009.6,12057.6,42.7,73.14999999999999,43.05,38.25,62.22,5,42
manual_133,2590395.57,115315.64,348288.36,3468076.5,240218.68,488500.32,41.4,42.6,6609355.199999999,480163.2,835756.8,7532985.6,813822.4,614937.6,3.8,1.9,29.04,13.2,0.2,0.24,0.3,0.72,0.21,0.72,0.18,0.23,66340.64,66613.68,222163.2,590822.4,59.78,102.41,60.27,60.75000000000001,98.82,5,42
manual_134,2263875.12,210680.31,252923.69,3030924.0,345690.34,383028.66,39.6,66.60000000000001,5776243.2,765801.6,550118.4,6583449.600000001,669131.2,759628.8,3.04,1.52,33.33,15.15,0.36,0.29,0.15,0.63,0.4,0.88,0.4,0.19,161705.31,172085.34,507801.6,446131.2,86.61999999999999,148.39,87.33,74.25,120.78,5,42
manual_135,1893818.61,227265.47,236338.53,2535484.5,234667.54,494051.46,20.1,49.2,4832049.6,353212.8,962707.2,5507308.8,524440.0,904320.0,4.72,2.36,25.08,11.4,0.29,0.14,0.2,0.65,0.4,0.61,0.18,0.16,178290.47,61062.54,95212.8,301440.0,62.22,106.59,62.73,23.25,37.82,5,42
manual_136,1676138.31,247996.92,215607.08,2244049.5,306832.36,421886.64,39.900000000000006,75.6,4276641.600000001,691747.2,624172.8,4874284.8,584728.0,844032.0,3.52,1.76,40.59,18.45,0.1,0.32,0.12,0.81,0.13,0.88,0.39,0.19,199021.92,133227.36,433747.2,361728.0,79.3,135.85,79.95,43.5,70.75999999999999,5,42
manual_137,2372715.27,98730.48,364873.52,3176641.5000000005,329036.92000000004,399682.08,18.3,51.0,6053947.2,310896.0,1005024.0,6899961.600000001,367691.2,1061068.8,4.8,2.4,27.72,12.6,0.15,0.16,0.16,0.75,0.13,0.6,0.19,0.17,49755.48,155431.92,52896.0,144691.19999999998,93.94,160.93,94.71,48.0,78.08,5,42
manual_138,2699235.72,82145.32,381458.68,3613794.0,251320.96,477398.04,29.4,44.4,6887059.2,321475.2,994444.8,7849497.6,536497.6000000001,892262.3999999999,4.36,2.18,34.980000000000004,15.9,0.28,0.36,0.15,0.82,0.18,0.73,0.32,0.29,33170.32,77715.96,63475.2,313497.60000000003,75.64,129.58,76.26,29.25,47.58,5,42
manual_139,1741442.4,181656.28,281947.72,2331480.0,279076.66000000003,449642.34,26.1,80.4,4443264.0,660009.6,655910.4,5064192.0,452094.4,976665.6,3.32,1.66,30.360000000000003,13.8,0.31,0.14,0.12,0.75,0.14,0.76,0.16,0.28,132681.28,105471.66,402009.6,229094.4,111.02,190.19,111.93,54.0,87.84,5,42
