target,model,mean_rmse,std_rmse,cv_n_splits,cv_n_repeats,cv_n_scores,best_params
WT_IB_A_Dub,GPR_Matern,0.10210683849240657,0.02419181811212743,10,3,30,"{""alpha"": 1e-10}"
WT_IB_A_Dub,CatBoost,0.11214228777624417,0.030670189839158535,10,3,30,"{""depth"": 4, ""iterations"": 100, ""learning_rate"": 0.1}"
WT_IB_A_Dub,LightGBM,0.1238806999429546,0.03030247059050064,10,3,30,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""num_leaves"": 15}"
WT_IB_A_Dub,Lasso,0.125242507366407,0.030245994245936225,10,3,30,"{""alpha"": 0.01}"
WT_IB_A_Dub,ElasticNet,0.12572732038042578,0.02981002199934136,10,3,30,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
WT_IB_A_Dub,XGBoost,0.12850234043937372,0.033652958152324386,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
WT_IB_A_Dub,GradientBoosting,0.13007507068066496,0.038700366636082735,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
WT_IB_A_Dub,Ridge,0.1357759757534391,0.02988222200557916,10,3,30,"{""alpha"": 10}"
WT_IB_A_Dub,BayesianRidge,0.13588430092549497,0.02909104427979026,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-06, ""lambda_1"": 1e-06}"
WT_IB_A_Dub,PolynomialReg_deg2,0.138442933606522,0.04001155657384522,10,3,30,"{""ridge__alpha"": 10}"
WT_IB_A_Dub,ExtraTrees,0.13985560156956317,0.03672476849456298,10,3,30,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 200}"
WT_IB_A_Dub,SVR_RBF,0.1474976881186983,0.05380422096830253,10,3,30,"{""C"": 10, ""epsilon"": 0.01, ""gamma"": ""auto""}"
WT_IB_A_Dub,RandomForest,0.15975433687074542,0.03968683827226606,10,3,30,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 200}"
WT_IB_A_Dub,AdaBoost,0.16407167602848058,0.03963663895841446,10,3,30,"{""learning_rate"": 0.5, ""n_estimators"": 200}"
WT_IB_A_Dub,GPR_RBF,0.17239692761785702,0.1019763121572543,10,3,30,"{""alpha"": 1e-10}"
WT_IB_A_Dub,PolynomialReg_deg3,0.19300523462652253,0.04766678257410861,10,3,30,"{""ridge__alpha"": 0.01}"
WT_IB_A_Dub,SVR_Poly,0.21440775272569496,0.059094384574319266,10,3,30,"{""C"": 10, ""degree"": 3, ""epsilon"": 0.1}"
WT_IB_A_Dub,KNN,0.21758367393141148,0.06632096818875104,10,3,30,"{""n_neighbors"": 7, ""p"": 2, ""weights"": ""distance""}"
WT_IB_A_Dub,MLP,0.24168747146465874,0.06503831936812496,10,3,30,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100], ""max_iter"": 500}"
