target,model,mean_rmse,std_rmse,cv_n_splits,cv_n_repeats,cv_n_scores,best_params
WT_IB_NA_Ross,SVR_RBF,3.5989912047984967,6.898881815611568,10,3,30,"{""C"": 10, ""epsilon"": 0.01, ""gamma"": ""scale""}"
WT_IB_NA_Ross,SVR_Poly,3.7218137589482985,7.055494918716718,10,3,30,"{""C"": 1, ""degree"": 3, ""epsilon"": 0.01}"
WT_IB_NA_Ross,KNN,4.31588879444556,6.7111238388864995,10,3,30,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""distance""}"
WT_IB_NA_Ross,LightGBM,4.330341157298235,6.723713717517174,10,3,30,"{""learning_rate"": 0.05, ""n_estimators"": 50, ""num_leaves"": 15}"
WT_IB_NA_Ross,Lasso,4.336058329629956,6.890525454213955,10,3,30,"{""alpha"": 1}"
WT_IB_NA_Ross,ElasticNet,4.3871332526479945,6.832404683091132,10,3,30,"{""alpha"": 1, ""l1_ratio"": 0.8}"
WT_IB_NA_Ross,GPR_Matern,4.455165795648556,6.2728009846085415,10,3,30,"{""alpha"": 0.001}"
WT_IB_NA_Ross,GPR_RBF,4.470342427517945,6.910110501587048,10,3,30,"{""alpha"": 0.001}"
WT_IB_NA_Ross,CatBoost,4.5983711333891835,6.824932078304746,10,3,30,"{""depth"": 6, ""iterations"": 50, ""learning_rate"": 0.05}"
WT_IB_NA_Ross,BayesianRidge,4.599642657983894,6.469264551837505,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-05, ""lambda_1"": 1e-05}"
WT_IB_NA_Ross,Ridge,4.867447771013371,6.4366810932691765,10,3,30,"{""alpha"": 100}"
WT_IB_NA_Ross,ExtraTrees,5.032918605646175,6.444583042620404,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 5, ""n_estimators"": 200}"
WT_IB_NA_Ross,AdaBoost,5.187320301105666,8.706192348599751,10,3,30,"{""learning_rate"": 1.0, ""n_estimators"": 200}"
WT_IB_NA_Ross,RandomForest,6.31342846467688,6.998927680782432,10,3,30,"{""max_depth"": 5, ""min_samples_split"": 2, ""n_estimators"": 50}"
WT_IB_NA_Ross,MLP,7.064465835921272,5.251202560406409,10,3,30,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50, 50], ""max_iter"": 500}"
WT_IB_NA_Ross,GradientBoosting,7.580634543674294,8.817056458984872,10,3,30,"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 100}"
WT_IB_NA_Ross,XGBoost,7.900406580744643,8.71318864871583,10,3,30,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 50}"
WT_IB_NA_Ross,PolynomialReg_deg3,9.104228680122274,6.6250558296294795,10,3,30,"{""ridge__alpha"": 10}"
WT_IB_NA_Ross,PolynomialReg_deg2,11.823468940893044,5.129980890755847,10,3,30,"{""ridge__alpha"": 10}"
