target,model,mean_rmse,std_rmse,cv_n_splits,cv_n_repeats,cv_n_scores,best_params
TT_IB_Agri,ExtraTrees,6.900494808268672,2.756438853626971,10,3,30,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 100}"
TT_IB_Agri,XGBoost,8.16554482689861,3.551242457207955,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
TT_IB_Agri,GradientBoosting,8.582881507200494,4.410808609963953,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
TT_IB_Agri,CatBoost,10.788993124952631,3.5750875794732075,10,3,30,"{""depth"": 4, ""iterations"": 100, ""learning_rate"": 0.1}"
TT_IB_Agri,AdaBoost,11.351317068303075,4.740594062993419,10,3,30,"{""learning_rate"": 0.5, ""n_estimators"": 100}"
TT_IB_Agri,RandomForest,11.712702851967558,5.004312421461958,10,3,30,"{""max_depth"": 5, ""min_samples_split"": 2, ""n_estimators"": 100}"
TT_IB_Agri,LightGBM,15.598811855819712,6.696495018980466,10,3,30,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""num_leaves"": 15}"
TT_IB_Agri,PolynomialReg_deg2,18.749287068780276,4.74698655901739,10,3,30,"{""ridge__alpha"": 10}"
TT_IB_Agri,MLP,19.18888519604658,5.224706480783345,10,3,30,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50, 50], ""max_iter"": 500}"
TT_IB_Agri,GPR_Matern,20.29622923352391,5.3550433638116175,10,3,30,"{""alpha"": 1e-06}"
TT_IB_Agri,SVR_RBF,24.27257999702787,6.144187190860789,10,3,30,"{""C"": 100, ""epsilon"": 0.01, ""gamma"": ""scale""}"
TT_IB_Agri,Lasso,28.001525461913157,4.905482749679739,10,3,30,"{""alpha"": 1}"
TT_IB_Agri,ElasticNet,28.18340144650223,4.93452747811464,10,3,30,"{""alpha"": 1, ""l1_ratio"": 0.8}"
TT_IB_Agri,GPR_RBF,29.229843220271725,14.970143953639461,10,3,30,"{""alpha"": 1e-10}"
TT_IB_Agri,BayesianRidge,29.562685819905788,5.442006307005526,10,3,30,"{""alpha_1"": 1e-06, ""alpha_2"": 1e-05, ""lambda_1"": 1e-05}"
TT_IB_Agri,Ridge,29.84379362773631,5.8887479630274395,10,3,30,"{""alpha"": 100}"
TT_IB_Agri,KNN,30.498266752021376,9.094938202834582,10,3,30,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}"
TT_IB_Agri,Baseline_OLS,31.437377954346985,5.932676937904651,10,3,30,{}
TT_IB_Agri,PolynomialReg_deg3,35.95719783911367,7.57461704217428,10,3,30,"{""ridge__alpha"": 10}"
TT_IB_Agri,SVR_Poly,42.62212305114968,13.36286540297342,10,3,30,"{""C"": 10, ""degree"": 3, ""epsilon"": 0.01}"
TT_IB_Agri,Baseline_Mean,45.502252342244326,10.285574050104067,10,3,30,{}
TT_IB_DR,SVR_RBF,0.18319634330663614,0.14340107023656035,10,3,30,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""scale""}"
TT_IB_DR,AdaBoost,0.18377468183956916,0.13657994562899856,10,3,30,"{""learning_rate"": 1.0, ""n_estimators"": 50}"
TT_IB_DR,ExtraTrees,0.18423375796276653,0.10563452217378237,10,3,30,"{""max_depth"": 5, ""min_samples_split"": 2, ""n_estimators"": 200}"
TT_IB_DR,CatBoost,0.18577394281119358,0.1354334671266315,10,3,30,"{""depth"": 6, ""iterations"": 50, ""learning_rate"": 0.05}"
TT_IB_DR,KNN,0.1870866201337845,0.13541489617236788,10,3,30,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}"
TT_IB_DR,ElasticNet,0.1897135272300017,0.1300755317797448,10,3,30,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
TT_IB_DR,LightGBM,0.19199950924777212,0.11580713320823066,10,3,30,"{""learning_rate"": 0.05, ""n_estimators"": 50, ""num_leaves"": 15}"
TT_IB_DR,RandomForest,0.1928681310638853,0.11980432349954663,10,3,30,"{""max_depth"": 5, ""min_samples_split"": 5, ""n_estimators"": 200}"
TT_IB_DR,GPR_Matern,0.19391827826929575,0.11788674080374531,10,3,30,"{""alpha"": 0.001}"
TT_IB_DR,Baseline_Mean,0.1941828691116268,0.13890189988115403,10,3,30,{}
TT_IB_DR,Lasso,0.1941828691116268,0.13890189988115403,10,3,30,"{""alpha"": 1}"
TT_IB_DR,GPR_RBF,0.19418287625959382,0.13890189952703896,10,3,30,"{""alpha"": 0.001}"
TT_IB_DR,SVR_Poly,0.19476958254013946,0.1417638672847073,10,3,30,"{""C"": 0.1, ""degree"": 2, ""epsilon"": 0.01}"
TT_IB_DR,BayesianRidge,0.19563042934189986,0.11803391533785203,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-05, ""lambda_1"": 1e-05}"
TT_IB_DR,Ridge,0.19659588175664133,0.11457607391903797,10,3,30,"{""alpha"": 100}"
TT_IB_DR,XGBoost,0.21728181662054072,0.12471409132267333,10,3,30,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 50}"
TT_IB_DR,Baseline_OLS,0.2281347468119793,0.0971400474151567,10,3,30,{}
TT_IB_DR,GradientBoosting,0.23075105170368862,0.12712867237857436,10,3,30,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 50}"
TT_IB_DR,PolynomialReg_deg3,0.28289957923963976,0.11509831151377911,10,3,30,"{""ridge__alpha"": 10}"
TT_IB_DR,PolynomialReg_deg2,0.31624322883224365,0.07271097378149795,10,3,30,"{""ridge__alpha"": 10}"
TT_IB_DR,MLP,3.4654080169562467,1.8207412486831982,10,3,30,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50, 50], ""max_iter"": 500}"
TT_IB_LB,Lasso,21.564510072951542,5.5146801775395,10,3,30,"{""alpha"": 1}"
TT_IB_LB,ElasticNet,22.10936272390904,5.999556934853144,10,3,30,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
TT_IB_LB,Ridge,22.236061630269628,6.0986381126385965,10,3,30,"{""alpha"": 1}"
