target,model,mean_rmse,std_rmse,cv_n_splits,cv_n_repeats,cv_n_scores,best_params
Uti_Cus_D,GPR_Matern,0.08367421368165838,0.024499017543878183,10,3,30,"{""alpha"": 1e-10}"
Uti_Cus_D,GradientBoosting,0.08744190463729586,0.03373550009553855,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
Uti_Cus_D,XGBoost,0.0878085011589679,0.029182671165326038,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
Uti_Cus_D,CatBoost,0.0885573183828693,0.028959821318937484,10,3,30,"{""depth"": 4, ""iterations"": 100, ""learning_rate"": 0.1}"
Uti_Cus_D,ExtraTrees,0.0888935224539779,0.030537931802974844,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 100}"
Uti_Cus_D,LightGBM,0.09123233123973704,0.025741432497017706,10,3,30,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""num_leaves"": 15}"
Uti_Cus_D,PolynomialReg_deg2,0.0918772529654711,0.022032842233952188,10,3,30,"{""ridge__alpha"": 1}"
Uti_Cus_D,AdaBoost,0.09248620641171429,0.0326072644749864,10,3,30,"{""learning_rate"": 0.5, ""n_estimators"": 200}"
Uti_Cus_D,SVR_RBF,0.09446131785928408,0.031599861886934706,10,3,30,"{""C"": 1, ""epsilon"": 0.01, ""gamma"": ""scale""}"
Uti_Cus_D,ElasticNet,0.09612552661820518,0.024318013963325773,10,3,30,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
Uti_Cus_D,Lasso,0.096432068277062,0.02557169773842136,10,3,30,"{""alpha"": 0.01}"
Uti_Cus_D,RandomForest,0.09770461511023713,0.03425872149300373,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 200}"
Uti_Cus_D,Ridge,0.10291422917620462,0.02301604439041116,10,3,30,"{""alpha"": 10}"
Uti_Cus_D,BayesianRidge,0.10411508349453565,0.024565274695641185,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-06, ""lambda_1"": 1e-06}"
Uti_Cus_D,KNN,0.10856022139567806,0.03617901817537467,10,3,30,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}"
Uti_Cus_D,SVR_Poly,0.12851616727950418,0.03491014250818074,10,3,30,"{""C"": 0.1, ""degree"": 3, ""epsilon"": 0.1}"
Uti_Cus_D,GPR_RBF,0.13571559658328927,0.04303498902601242,10,3,30,"{""alpha"": 0.001}"
Uti_Cus_D,PolynomialReg_deg3,0.14233065188441665,0.04157750123387117,10,3,30,"{""ridge__alpha"": 10}"
Uti_Cus_D,MLP,0.2650777304414659,0.07603335743928256,10,3,30,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100], ""max_iter"": 500}"
