target,model,mean_rmse,std_rmse,cv_n_splits,cv_n_repeats,cv_n_scores,best_params
WT_OB_NA_GB-Ross,Lasso,0.22253381061127267,0.042354676840792575,10,3,30,"{""alpha"": 0.01}"
WT_OB_NA_GB-Ross,ElasticNet,0.2229306664995387,0.042213544439844077,10,3,30,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
WT_OB_NA_GB-Ross,Ridge,0.2289873583222846,0.04140561696261975,10,3,30,"{""alpha"": 1}"
WT_OB_NA_GB-Ross,BayesianRidge,0.22917951358521985,0.041094461838289104,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-05, ""lambda_1"": 1e-05}"
WT_OB_NA_GB-Ross,GPR_Matern,0.2352785946191483,0.043834569841,10,3,30,"{""alpha"": 1e-06}"
WT_OB_NA_GB-Ross,CatBoost,0.35884604891040844,0.09057297912296154,10,3,30,"{""depth"": 4, ""iterations"": 100, ""learning_rate"": 0.1}"
WT_OB_NA_GB-Ross,LightGBM,0.36948214476382757,0.08668149126316667,10,3,30,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""num_leaves"": 15}"
WT_OB_NA_GB-Ross,PolynomialReg_deg2,0.3753219920343633,0.0996295411564331,10,3,30,"{""ridge__alpha"": 1}"
WT_OB_NA_GB-Ross,PolynomialReg_deg3,0.3848972406981363,0.08572665344277033,10,3,30,"{""ridge__alpha"": 10}"
WT_OB_NA_GB-Ross,GradientBoosting,0.38968385311348513,0.08924890723900229,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
WT_OB_NA_GB-Ross,ExtraTrees,0.39076527279175693,0.09999069238372026,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 200}"
WT_OB_NA_GB-Ross,XGBoost,0.3911318620133448,0.09406364614654074,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
WT_OB_NA_GB-Ross,SVR_Poly,0.40050158777751294,0.09298374267813804,10,3,30,"{""C"": 10, ""degree"": 3, ""epsilon"": 0.1}"
WT_OB_NA_GB-Ross,SVR_RBF,0.41967648416624553,0.09588150939639921,10,3,30,"{""C"": 10, ""epsilon"": 0.01, ""gamma"": ""auto""}"
WT_OB_NA_GB-Ross,RandomForest,0.42903213489866315,0.09939484779521886,10,3,30,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 200}"
WT_OB_NA_GB-Ross,AdaBoost,0.43453693983602,0.09382175006154257,10,3,30,"{""learning_rate"": 1.0, ""n_estimators"": 200}"
WT_OB_NA_GB-Ross,MLP,0.4730903003353252,0.12725849949575493,10,3,30,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100], ""max_iter"": 500}"
WT_OB_NA_GB-Ross,KNN,0.663179771171922,0.13815065317573635,10,3,30,"{""n_neighbors"": 10, ""p"": 2, ""weights"": ""distance""}"
WT_OB_NA_GB-Ross,GPR_RBF,0.7717553232611335,0.1496904674357943,10,3,30,"{""alpha"": 0.001}"
