probe,magnitude_x_max,n_factors_perturbed,score_or_mean_score,flagged
threshold_p90,,,0.026942,
A_single_factor_magnitude,1.0,1,0.000000,False
A_single_factor_magnitude,1.5,1,0.000000,False
A_single_factor_magnitude,2.0,1,0.000000,False
A_single_factor_magnitude,3.0,1,0.000000,False
A_single_factor_magnitude,5.0,1,0.000000,False
A_single_factor_magnitude,10.0,1,0.000000,False
A_single_factor_magnitude,20.0,1,0.000000,False
A_single_factor_magnitude,50.0,1,0.000000,False
A_single_factor_magnitude,100.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
B_factor_20x_high,20.0,1,0.000000,False
B_factor_extreme_low,-20.0,1,0.000000,False
C_m_factors_x_magnitude,1.5,1,0.000000,False
C_m_factors_x_magnitude,2.0,1,0.000000,False
C_m_factors_x_magnitude,3.0,1,0.000000,False
C_m_factors_x_magnitude,5.0,1,0.000000,False
C_m_factors_x_magnitude,1.5,2,0.000000,False
C_m_factors_x_magnitude,2.0,2,0.000000,False
C_m_factors_x_magnitude,3.0,2,0.000017,False
C_m_factors_x_magnitude,5.0,2,0.000000,False
C_m_factors_x_magnitude,1.5,3,0.001169,False
C_m_factors_x_magnitude,2.0,3,0.000583,False
C_m_factors_x_magnitude,3.0,3,0.000609,False
C_m_factors_x_magnitude,5.0,3,0.000663,False
C_m_factors_x_magnitude,1.5,5,0.011168,False
C_m_factors_x_magnitude,2.0,5,0.008101,False
C_m_factors_x_magnitude,3.0,5,0.010913,False
C_m_factors_x_magnitude,5.0,5,0.010588,False
C_m_factors_x_magnitude,1.5,10,0.044525,True
C_m_factors_x_magnitude,2.0,10,0.044276,True
C_m_factors_x_magnitude,3.0,10,0.043891,True
C_m_factors_x_magnitude,5.0,10,0.044366,True
C_m_factors_x_magnitude,1.5,17,0.084232,True
C_m_factors_x_magnitude,2.0,17,0.083611,True
C_m_factors_x_magnitude,3.0,17,0.082138,True
C_m_factors_x_magnitude,5.0,17,0.084140,True
C_m_factors_x_magnitude,1.5,25,0.121882,True
C_m_factors_x_magnitude,2.0,25,0.118719,True
C_m_factors_x_magnitude,3.0,25,0.121308,True
C_m_factors_x_magnitude,5.0,25,0.119642,True
C_m_factors_x_magnitude,1.5,35,0.158081,True
C_m_factors_x_magnitude,2.0,35,0.158081,True
C_m_factors_x_magnitude,3.0,35,0.158081,True
C_m_factors_x_magnitude,5.0,35,0.158081,True
D_all_factors_magnitude,1.0,35,0.158081,True
D_all_factors_magnitude,1.5,35,0.158081,True
D_all_factors_magnitude,2.0,35,0.158081,True
D_all_factors_magnitude,3.0,35,0.158081,True
D_all_factors_magnitude,5.0,35,0.158081,True
D_all_factors_magnitude,10.0,35,0.158081,True
D_all_factors_magnitude,20.0,35,0.158081,True
D_all_factors_magnitude,50.0,35,0.158081,True
D_all_factors_magnitude,100.0,35,0.158081,True
