target,n_blocks,n_models,friedman_statistic,friedman_p_value,best_mean_rank_model,best_mean_rank,tier1_not_sig_vs_best
TT_IB_Agri,30,21,496.7030303030301,1.4259644051740593e-92,ExtraTrees,1.9,ExtraTrees
TT_IB_DR,30,21,184.5952504766857,1.2207077078031942e-28,ExtraTrees,7.133333333333334,ExtraTrees
TT_IB_LB,30,21,348.99220779220786,7.185725130932037e-62,Lasso,5.033333333333333,Lasso
TT_OB_Agri,30,21,331.56778285244263,2.761675886721325e-58,ExtraTrees,2.2,ExtraTrees
TT_OB_DR,30,21,285.09632451621303,8.833225579116901e-49,CatBoost,4.166666666666667,CatBoost
TT_OB_LB,30,21,392.3203463203463,7.993569906501588e-71,ExtraTrees,4.266666666666667,ExtraTrees
Uti_Cus_D,30,21,312.43809523809523,2.3140072166536098e-54,GPR_Matern,5.4,GPR_Matern
Uti_Cus_R,30,21,478.73073593073605,8.190331431490555e-89,ElasticNet,2.6,ElasticNet
Uti_DAFM_D,30,21,418.17835497835495,3.435233688918467e-76,GPR_Matern,2.1666666666666665,GPR_Matern
Uti_DAFM_R,30,21,490.787878787879,2.465675105952818e-91,GPR_Matern,2.5,GPR_Matern
WT_IB_A_Dub,30,21,385.8251082251081,1.7711629219443928e-69,GPR_Matern,2.5,GPR_Matern
WT_IB_A_Ross,30,21,371.4909090909091,1.6357656014435572e-66,GPR_Matern,2.8666666666666667,GPR_Matern
WT_IB_LB,30,21,352.6857142857143,1.2454918997822546e-62,Lasso,4.966666666666667,Lasso
WT_IB_NA_Dub,30,21,392.17142857142835,8.582261901024913e-71,Lasso,4.333333333333333,Lasso
WT_IB_NA_Ross,30,21,169.18614718614708,1.24776783883361e-25,SVR_RBF,3.9,SVR_RBF
WT_OB_A_GB-Dub,30,21,393.17229437229435,5.3232459296568884e-71,Lasso,3.2666666666666666,Lasso
WT_OB_A_GB-Ross,30,21,377.26926406926395,1.0446280455347571e-67,CatBoost,4.433333333333334,CatBoost
WT_OB_LB,30,21,476.8466167366554,2.0280831531170858e-88,Lasso,2.7333333333333334,Lasso
WT_OB_NA_GB-Dub,30,21,414.1808105299618,2.3262397977037545e-75,ElasticNet,3.466666666666667,ElasticNet
WT_OB_NA_GB-Ross,30,21,452.425318209369,2.5440711036122604e-83,Lasso,3.033333333333333,Lasso
