feature,mean_abs_shap
Pct_NA_IB_Green,19.345695935550253
ChkTime_Doc,19.22948431178708
NumCusShed_D,17.19315470025508
NA_Im,6.885436099027114
Shift_NA_Im_LB_to_Cher,6.868467705540625
VCap_Dub_Hey,2.6544274771068963
ChkTime_Phy,2.4167600018234086
Pct_NA_IB_Red,2.1895539377344657
Shift_NA_Ex_LB_to_Cher,1.4169116903742827
Shift_A_Im_LB_to_Cher,1.3022010766103553
Shift_A_Ex_LB_to_Cher,1.0878324966240736
VCap_Ross_Fish,0.8525999270315661
Pct_OB_PreBoard,0.6105404736511854
Pct_A_OB_Red,0.5229465245149107
NumDAFM_D,0.22556127175813503
NumCusShed_R,0.03048904972238209
NumDAFM_R,0.0015558587917753033
NA_Im_LB,6.512127868851942e-15
NA_Ex_LB,5.099942659581857e-15
VCap_Dub_Holy,3.67778700081878e-15
VCap_Ross_Pem,3.0812923487186812e-15
VCap_Dub_Liv,9.872332955752503e-16
NA_Ex,1.6753434823747156e-16
NA_Ex_DR,0.0
NA_Im_DR,0.0
A_Ex_LB,0.0
A_Im_LB,0.0
Pct_NA_OB_Green,0.0
Pct_NA_OB_Red,0.0
A_Ex_DR,0.0
A_Ex,0.0
A_Im,0.0
Pct_A_IB_Red,0.0
Pct_IB_PreBoard,0.0
A_Im_DR,0.0
