feature,mean_abs_shap
ChkTime_Doc,0.021404015057568594
Pct_A_IB_Red,0.013664912262060822
NumDAFM_D,0.012213219583119586
NA_Im,0.011072800309598788
ChkTime_Phy,0.009449313266766629
NA_Ex,0.0063987510112015885
NumDAFM_R,0.00638430841454137
A_Im,0.0018553010114642336
A_Ex,0.0003589112114603067
Shift_NA_Ex_LB_to_Cher,2.861422599922305e-05
NA_Ex_LB,1.6263242297907036e-05
NA_Ex_DR,4.71546876027034e-06
Pct_IB_PreBoard,0.0
Pct_NA_IB_Red,0.0
Pct_A_OB_Red,0.0
Pct_NA_OB_Red,0.0
Pct_NA_OB_Green,0.0
NumCusShed_R,0.0
NumCusShed_D,0.0
Pct_NA_IB_Green,0.0
VCap_Dub_Holy,0.0
VCap_Ross_Pem,0.0
VCap_Ross_Fish,0.0
VCap_Dub_Liv,0.0
VCap_Dub_Hey,0.0
A_Ex_DR,0.0
A_Ex_LB,0.0
Shift_A_Ex_LB_to_Cher,0.0
A_Im_DR,0.0
A_Im_LB,0.0
Shift_A_Im_LB_to_Cher,0.0
NA_Im_DR,0.0
NA_Im_LB,0.0
Shift_NA_Im_LB_to_Cher,0.0
Pct_OB_PreBoard,0.0
