feature,mean_abs_shap
Pct_NA_IB_Green,25.795291665705633
ChkTime_Doc,25.273986825433386
NumCusShed_D,22.765773371238353
Shift_NA_Im_LB_to_Cher,8.889246216906342
NA_Im,8.62664032220111
Pct_NA_IB_Red,5.355181619809819
VCap_Dub_Hey,3.95410722511523
ChkTime_Phy,3.1174559331692997
Shift_A_Ex_LB_to_Cher,2.536248367714183
Shift_NA_Ex_LB_to_Cher,2.394735711308463
VCap_Ross_Fish,2.187816373719783
Pct_A_OB_Red,2.0643149879390332
Shift_A_Im_LB_to_Cher,1.9632173068408563
Pct_OB_PreBoard,0.8953933932104631
Pct_IB_PreBoard,0.3630416170607715
NumCusShed_R,0.07514214658137777
NumDAFM_D,0.05820248981561746
NumDAFM_R,0.0001473918209479463
A_Im_LB,7.467688626510743e-15
NA_Ex_LB,5.411764617880813e-15
VCap_Ross_Pem,3.4081229131801106e-15
NA_Im_LB,2.614259556251538e-15
NA_Ex,2.2615934013809033e-15
VCap_Dub_Holy,1.4796589750957342e-15
A_Im_DR,8.283364747701733e-16
NA_Ex_DR,7.370625915737017e-16
A_Ex_DR,0.0
NA_Im_DR,0.0
Pct_NA_OB_Green,0.0
Pct_NA_OB_Red,0.0
VCap_Dub_Liv,0.0
A_Ex,0.0
A_Im,0.0
Pct_A_IB_Red,0.0
A_Ex_LB,0.0
