feature,mean_abs_shap
Pct_NA_OB_Green,0.5560381009879303
ChkTime_Doc,0.298943268816709
NA_Im,0.21543346452780862
Pct_NA_OB_Red,0.15160632627623302
NumCusShed_D,0.06829721400592219
Pct_OB_PreBoard,0.05838071745396451
Shift_NA_Ex_LB_to_Cher,0.029456426790374975
Pct_NA_IB_Green,0.028052350893550158
Shift_A_Im_LB_to_Cher,0.01870871647814079
NumDAFM_D,0.014175388737424717
Pct_IB_PreBoard,0.008362086175570486
Shift_A_Ex_LB_to_Cher,0.002063193841963586
Shift_NA_Im_LB_to_Cher,0.0009923242773219418
NumCusShed_R,0.000703461783321776
NumDAFM_R,3.5897714432718455e-05
NA_Ex_LB,1.454187291657042e-16
A_Im_DR,5.08597584990357e-17
NA_Ex,3.563551490031481e-17
NA_Im_DR,2.970909439825848e-17
A_Im_LB,2.8728801199585385e-17
NA_Im_LB,1.1185477725126454e-17
A_Ex_LB,2.135321893105986e-18
Pct_A_OB_Red,0.0
A_Ex,0.0
A_Im,0.0
Pct_A_IB_Red,0.0
Pct_NA_IB_Red,0.0
VCap_Ross_Pem,0.0
ChkTime_Phy,0.0
VCap_Ross_Fish,0.0
VCap_Dub_Liv,0.0
VCap_Dub_Hey,0.0
A_Ex_DR,0.0
NA_Ex_DR,0.0
VCap_Dub_Holy,0.0
